Job Title,Rating,Company Name,Location,Headquarters,Sector,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data
Sr Data Scientist,3.1,Healthfirst,"New York, NY","New York, NY",Insurance,137,171,154, NY,1,27,0,0,0,0,1,0,0
Data Scientist,4.2,ManTech,"Chantilly, VA","Herndon, VA",Business Services,137,171,154, VA,0,52,0,0,1,0,0,0,1
Data Scientist,3.8,Analysis Group,"Boston, MA","Boston, MA",Business Services,137,171,154, MA,1,39,1,1,0,0,1,0,0
Data Scientist,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",Manufacturing,137,171,154, MA,0,20,1,1,0,0,1,0,0
Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",Business Services,137,171,154, NY,1,22,1,1,0,0,0,0,0
Data Scientist,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",Information Technology,137,171,154, CA,1,10,1,1,1,1,0,0,0
Data Scientist / Machine Learning Expert,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",Biotech & Pharmaceuticals,137,171,154, MA,0,24,1,0,0,0,0,0,0
Data Scientist,3.5,iRobot,"Bedford, MA","Bedford, MA",Retail,137,171,154, MA,1,30,1,0,0,0,0,0,0
Staff Data Scientist - Analytics,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",Information Technology,137,171,154, CA,0,37,0,0,0,0,0,0,0
Data Scientist,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",Information Technology,137,171,154, IL,1,6,1,0,0,0,0,0,0
Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",Information Technology,137,171,154, VA,0,8,1,1,0,0,1,0,0
Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",Information Technology,137,171,154, MO,1,4,1,0,0,1,0,0,0
"Data Scientist - Statistics, Early Career",3.7,PNNL,"Richland, WA","Richland, WA","Oil, Gas, Energy & Utilities",137,171,154, WA,1,55,0,1,0,0,0,0,0
Data Modeler,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",Manufacturing,137,171,154, IL,1,47,1,1,0,0,0,1,0
Data Scientist,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",Business Services,137,171,154, DC,0,34,1,1,0,0,1,0,0
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",Government,137,171,154, DC,0,23,1,1,1,1,0,1,0
Data Scientist - Contract,4.1,Upside Business Travel,Remote,"Washington, DC",Information Technology,137,171,154,Remote,0,5,1,0,0,0,0,0,0
Data Scientist,3.5,Buckman,"Memphis, TN","Memphis, TN",Manufacturing,137,171,154, TN,1,75,1,0,1,0,0,0,0
Data Analyst II,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",Information Technology,137,171,154, TX,0,32,0,1,0,0,0,0,0
